Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02 00:00:00-05:00,27.18905801488985,27.501800299676482,26.895862588925144,27.101099014282227,6249300,0.0,0.0
2025-01-03 00:00:00-05:00,27.218377308039734,27.24769573110971,26.77858232108019,27.05223274230957,6703700,0.0,0.0
2025-01-06 00:00:00-05:00,27.042459662700455,27.648399223220157,26.925180376632092,27.032686233520508,7956500,0.0,0.0
2025-01-07 00:00:00-05:00,27.169508894619128,27.667942568544937,26.905633778850913,27.120643615722656,12090500,0.0,0.0
2025-01-08 00:00:00-05:00,26.837219352486056,26.876313066255136,26.27037355147049,26.416973114013672,11272400,0.0,0.0
2025-01-10 00:00:00-05:00,26.85676727340439,27.179282968413514,26.241056169874593,26.358333587646484,12320000,0.0,0.0
2025-01-13 00:00:00-05:00,26.5147031990777,27.374746245805444,26.456064493556983,27.16950798034668,11632900,0.0,0.0
2025-01-14 00:00:00-05:00,27.071777918353256,27.579983148929855,26.96427206953375,27.56043815612793,6624800,0.0,0.0
2025-01-15 00:00:00-05:00,27.78522388820535,28.449802168913894,27.619079318028216,28.254337310791016,9668700,0.0,0.0
2025-01-16 00:00:00-05:00,28.049098283677427,28.645262503837976,28.039324855269435,28.606170654296875,8388900,0.0,0.0
2025-01-17 00:00:00-05:00,28.723450074702185,29.710544043814114,28.635491076973032,29.22188377380371,14157500,0.0,0.0
2025-01-21 00:00:00-05:00,29.51508008339306,29.573718791919962,28.82118155347613,28.860275268554688,14680100,0.0,0.0
2025-01-22 00:00:00-05:00,28.34229642100221,28.67458556265159,27.531120425585446,27.834089279174805,17921200,0.0,0.0
2025-01-23 00:00:00-05:00,28.24456362548107,28.293430771614403,27.2672430719067,27.335655212402344,16720700,0.0,0.0
2025-01-24 00:00:00-05:00,27.56043765472702,27.736353771289167,26.846992303846484,27.16950798034668,13047000,0.0,0.0
2025-01-27 00:00:00-05:00,27.247695830593752,27.46270754237722,26.592890994336003,26.63198471069336,14329800,0.0,0.0
2025-01-28 00:00:00-05:00,26.71994107499653,26.895859053084877,25.957630457977313,26.045589447021484,12717000,0.0,0.0
2025-01-29 00:00:00-05:00,26.026043825644,26.260602383618252,25.62534257391524,25.771942138671875,16515700,0.0,0.0
2025-01-30 00:00:00-05:00,25.94785902816674,26.08468516837881,25.64489018928814,25.938087463378906,9818400,0.0,0.0
2025-01-31 00:00:00-05:00,25.977179106396537,26.03581781510787,25.23441529438622,25.429880142211914,11606000,0.0,0.0
2025-02-03 00:00:00-05:00,25.107365983772464,25.351696126452758,24.69689126950593,24.931447982788086,11227300,0.0,0.0
2025-02-04 00:00:00-05:00,24.696889728328774,25.781714226550303,24.638249155599333,25.74262237548828,12147300,0.0,0.0
2025-02-05 00:00:00-05:00,25.859900713909624,25.938088147000627,25.508066585455136,25.693758010864258,8266800,0.0,0.0
2025-02-06 00:00:00-05:00,25.85989997101394,25.85989997101394,24.69688989856096,24.90212631225586,10466600,0.0,0.0
2025-02-07 00:00:00-05:00,25.009633605793407,25.15623131888766,24.589385461256445,24.61870574951172,8121000,0.0,0.0
2025-02-10 00:00:00-05:00,24.970537119345984,25.537382914124414,24.92167184176318,25.390785217285156,6922800,0.0,0.0
2025-02-11 00:00:00-05:00,25.5373833148498,26.15309626096348,25.45919775103594,25.889219284057617,10983000,0.0,0.0
2025-02-12 00:00:00-05:00,25.586252153916814,25.928314717318734,25.341922017785585,25.381013870239258,7306300,0.0,0.0
2025-02-13 00:00:00-05:00,25.322373451832906,25.820807119618358,25.156228895904423,25.683982849121094,7560100,0.0,0.0
2025-02-14 00:00:00-05:00,25.88922141401287,26.172645271212733,25.54715884515101,25.56670570373535,8293000,0.0,0.0
2025-02-18 00:00:00-05:00,25.625341823242714,26.553797007078884,25.50806441178203,26.123775482177734,9929400,0.0,0.0
2025-02-19 00:00:00-05:00,26.065138505349246,26.446292914014727,26.016273224681196,26.1335506439209,10899300,0.0,0.0
2025-02-20 00:00:00-05:00,26.18241711470391,26.768807923989744,26.12377654250259,26.377880096435547,8290700,0.0,0.0
2025-02-21 00:00:00-05:00,26.319243100464913,26.416975529733957,25.586252677083635,25.664438247680664,10112100,0.0,0.0
2025-02-24 00:00:00-05:00,25.7035290904964,26.358333917539465,25.605798529160303,26.1335506439209,13747000,0.0,0.0
2025-02-25 00:00:00-05:00,26.143323690666588,26.52447809375973,25.6155697195306,25.635116577148438,9374800,0.0,0.0
2025-02-26 00:00:00-05:00,25.732848856728765,25.869673131103863,25.156229608875226,25.3321475982666,7658800,0.0,0.0
2025-02-27 00:00:00-05:00,25.508066177368164,25.869673729173904,25.293054467989748,25.508066177368164,7292400,0.0,0.0
2025-02-28 00:00:00-05:00,25.41033273721156,25.781713703170812,25.087817050110587,25.771942138671875,9966600,0.0,0.0
2025-03-03 00:00:00-05:00,25.91854142407093,26.123777844733514,24.188683603810517,24.442787170410156,16727100,0.0,0.0
2025-03-04 00:00:00-05:00,23.954125168849696,24.1202697248771,23.250455094899387,23.6022891998291,17262500,0.0,0.0
2025-03-05 00:00:00-05:00,23.336540052442952,23.956617898366666,23.051108853334927,23.80898094177246,12951000,0.17,0.0
